동별(2),동별(3),주차장,은행,보육시설,교육 서비스업,예술 스포츠 및 여가관련 서비스업,"마트 , 백화점"
종로구,사직동,362,23,11,132,114,0
종로구,삼청동,343,3,3,20,37,0
종로구,부암동,596,1,3,55,39,0
종로구,평창동,1617,2,3,70,81,0
종로구,무악동,69,1,3,33,14,0
종로구,교남동,209,2,6,32,17,0
종로구,가회동,461,4,4,39,47,0
종로구,종로1.2.3.4가동,935,42,12,339,243,7
종로구,종로5.6가동,705,7,4,35,50,3
종로구,이화동,442,4,3,62,170,0
종로구,창신1동,228,4,3,15,36,1
종로구,창신2동,209,1,3,6,17,0
종로구,창신3동,37,0,2,16,10,1
종로구,숭인1동,88,0,2,19,10,0
종로구,숭인2동,441,2,2,32,41,1
종로구,청운효자동,668,3,4,72,39,0
종로구,혜화동,822,5,3,105,176,0
중구,소공동,149,32,5,64,39,3
중구,회현동,190,18,8,33,31,9
중구,명동,291,58,9,102,84,6
중구,필동,375,8,1,68,50,0
중구,장충동,320,1,2,14,21,0
중구,광희동,281,15,2,38,55,12
중구,을지로동,135,10,2,29,62,3
중구,신당5동,267,3,4,20,39,0
중구,황학동,353,4,6,20,43,3
중구,중림동,124,2,6,42,31,0
중구,신당동,408,5,1,22,45,16
중구,다산동,675,4,4,49,52,0
중구,약수동,216,2,7,50,30,2
중구,청구동,237,0,4,61,28,0
중구,동화동,248,1,3,32,22,0
용산구,후암동,739,1,9,52,26,0
용산구,용산2가동,396,0,2,17,22,0
용산구,남영동,267,7,3,59,59,0
용산구,원효로2동,275,2,8,46,20,0
용산구,효창동,340,0,8,53,18,0
용산구,용문동,384,7,7,35,19,0
용산구,이촌1동,74,0,11,96,50,0
용산구,이촌2동,57,7,4,22,11,0
용산구,이태원1동,450,4,5,21,33,1
용산구,이태원2동,685,1,3,28,28,0
용산구,서빙고동,243,1,6,43,17,1
용산구,보광동,408,1,5,35,29,0
용산구,청파동,910,2,9,70,55,0
용산구,원효로1동,436,19,9,61,45,0
용산구,한강로동,454,11,10,104,91,13
용산구,한남동,1265,0,7,102,128,0
성동구,왕십리2동,229,5,9,44,22,0
성동구,마장동,720,2,12,66,32,0
성동구,사근동,491,4,3,60,62,0
성동구,행당1동,298,2,9,94,55,2
성동구,행당2동,92,0,13,110,18,2
성동구,응봉동,98,0,6,47,17,0
성동구,금호1가동,82,3,10,75,34,0
성동구,금호4가동,137,3,8,55,47,0
성동구,성수1가1동,596,4,6,89,70,0
성동구,성수1가2동,633,3,7,98,75,0
성동구,성수2가1동,682,15,6,44,66,1
성동구,성수2가3동,739,0,6,108,122,1
성동구,송정동,556,2,5,23,16,0
성동구,용답동,508,3,5,37,37,1
성동구,왕십리도선동,363,1,16,142,66,1
성동구,금호2.3가동,345,2,15,63,50,0
성동구,옥수동,142,5,15,128,55,0
광진구,화양동,1226,3,5,99,180,1
광진구,군자동,1155,0,10,85,66,1
광진구,중곡1동,1345,4,3,40,49,2
광진구,중곡2동,1522,0,11,100,73,0
광진구,중곡3동,1342,2,11,35,60,0
광진구,중곡4동,1891,0,11,76,61,1
광진구,능동,929,3,4,55,60,0
광진구,구의1동,1648,1,7,82,101,0
광진구,구의2동,1407,4,15,97,50,1
광진구,구의3동,770,7,15,216,103,5
광진구,광장동,364,4,17,182,57,1
광진구,자양1동,1333,1,9,82,68,0
광진구,자양2동,1200,5,10,114,67,2
광진구,자양3동,435,2,15,144,45,2
광진구,자양4동,883,5,9,60,99,3
동대문구,회기동,598,1,5,59,68,2
동대문구,휘경1동,388,2,7,49,43,0
동대문구,휘경2동,836,4,13,66,37,0
동대문구,청량리동,456,8,8,53,67,1
동대문구,용신동,1407,5,14,127,96,3
동대문구,제기동,978,2,10,100,46,3
동대문구,전농1동,907,1,15,97,74,3
동대문구,전농2동,233,5,13,98,37,1
동대문구,답십리2동,444,2,16,129,53,0
동대문구,장안1동,1323,9,18,69,62,2
동대문구,장안2동,1014,2,24,95,113,2
동대문구,이문1동,735,2,20,217,127,2
동대문구,이문2동,294,0,8,72,48,1
동대문구,답십리1동,467,0,13,57,18,1
중랑구,면목2동,833,0,10,54,49,0
중랑구,면목4동,583,1,7,61,32,0
중랑구,면목5동,457,2,5,16,23,1
중랑구,면목7동,648,1,9,45,61,1
중랑구,상봉1동,508,3,11,80,35,2
중랑구,상봉2동,941,1,4,49,176,2
중랑구,중화1동,1686,2,12,86,18,0
중랑구,중화2동,900,1,5,37,86,1
중랑구,묵1동,1133,4,20,95,67,1
중랑구,묵2동,867,1,11,60,65,0
중랑구,망우3동,906,1,6,41,23,1
중랑구,신내1동,465,3,32,159,78,1
중랑구,신내2동,39,2,17,123,30,2
중랑구,면목본동,1286,1,11,78,79,1
중랑구,면목3.8동,894,3,12,73,109,0
중랑구,망우본동,1105,0,19,94,98,1
성북구,돈암1동,79,1,7,59,22,0
성북구,돈암2동,62,4,13,108,32,3
