동별(2),동별(3),일반음식점,카페
종로구,사직동,1054,219
종로구,삼청동,257,95
종로구,부암동,137,66
종로구,평창동,136,76
종로구,무악동,49,23
종로구,교남동,147,56
종로구,가회동,200,93
종로구,종로1.2.3.4가동,2481,583
종로구,종로5.6가동,512,105
종로구,이화동,378,117
종로구,창신1동,296,52
종로구,창신2동,118,18
종로구,창신3동,30,11
종로구,숭인1동,211,36
종로구,숭인2동,110,28
종로구,청운효자동,260,89
종로구,혜화동,680,156
중구,소공동,752,389
중구,회현동,667,336
중구,명동,1209,529
중구,필동,562,160
중구,장충동,118,38
중구,광희동,645,315
중구,을지로동,678,173
중구,신당5동,108,15
중구,황학동,319,71
중구,중림동,216,61
중구,신당동,820,286
중구,다산동,84,20
중구,약수동,61,16
중구,청구동,44,17
중구,동화동,48,15
용산구,후암동,186,47
용산구,용산2가동,235,39
용산구,남영동,413,131
용산구,원효로2동,102,37
용산구,효창동,48,26
용산구,용문동,102,41
용산구,이촌1동,181,48
용산구,이촌2동,24,13
용산구,이태원1동,780,82
용산구,이태원2동,218,37
용산구,서빙고동,59,21
용산구,보광동,189,37
용산구,청파동,354,120
용산구,원효로1동,292,63
용산구,한강로동,851,291
용산구,한남동,742,134
성동구,왕십리2동,133,60
성동구,마장동,180,36
성동구,사근동,332,95
성동구,행당1동,317,128
성동구,행당2동,20,21
성동구,응봉동,28,13
성동구,금호1가동,62,27
성동구,금호4가동,103,29
성동구,성수1가1동,559,171
성동구,성수1가2동,140,31
성동구,성수2가1동,769,219
성동구,성수2가3동,195,49
성동구,송정동,73,25
성동구,용답동,209,44
성동구,왕십리도선동,361,88
성동구,금호2.3가동,205,52
성동구,옥수동,130,60
광진구,화양동,889,221
광진구,군자동,328,100
광진구,중곡1동,364,120
광진구,중곡2동,177,51
광진구,중곡3동,175,39
광진구,중곡4동,162,48
광진구,능동,135,68
광진구,구의1동,395,119
광진구,구의2동,203,81
광진구,구의3동,302,144
광진구,광장동,178,84
광진구,자양1동,422,152
광진구,자양2동,140,49
광진구,자양3동,157,91
광진구,자양4동,330,85
동대문구,회기동,381,108
동대문구,휘경1동,240,106
동대문구,휘경2동,31,10
동대문구,청량리동,258,47
동대문구,용신동,606,147
동대문구,제기동,466,105
동대문구,전농1동,454,201
동대문구,전농2동,32,18
동대문구,답십리2동,55,15
동대문구,장안1동,895,274
동대문구,장안2동,109,24
동대문구,이문1동,362,125
동대문구,이문2동,40,8
동대문구,답십리1동,330,126
중랑구,면목2동,305,74
중랑구,면목4동,149,34
중랑구,면목5동,91,35
중랑구,면목7동,182,44
중랑구,상봉1동,165,79
중랑구,상봉2동,498,87
중랑구,중화1동,94,53
중랑구,중화2동,347,70
중랑구,묵1동,206,76
중랑구,묵2동,245,47
중랑구,망우3동,122,36
중랑구,신내1동,246,94
중랑구,신내2동,78,33
중랑구,면목본동,384,85
중랑구,면목3.8동,402,82
중랑구,망우본동,406,142
성북구,돈암1동,49,18
성북구,돈암2동,21,11
성북구,안암동,331,142
성북구,보문동,120,40
성북구,정릉1동,221,87
성북구,정릉2동,72,21
성북구,정릉3동,81,25
성북구,정릉4동,82,19
성북구,길음1동,151,125
성북구,길음2동,72,46
성북구,월곡1동,240,100
성북구,월곡2동,172,63
성북구,장위1동,182,63
성북구,장위2동,92,13
성북구,장위3동,24,10
성북구,성북동,145,81
성북구,삼선동,373,97
성북구,동선동,474,144
성북구,종암동,251,89
성북구,석관동,311,72
강북구,번1동,308,90
강북구,번2동,62,27
강북구,번3동,63,26
강북구,수유1동,247,75
강북구,수유2동,204,52
강북구,수유3동,106,712
강북구,삼양동,124,50
강북구,미아동,439,139
강북구,송중동,430,103
강북구,송천동,335,57
강북구,삼각산동,121,43
강북구,우이동,281,53
강북구,인수동,205,61
도봉구,쌍문1동,142,67
도봉구,쌍문2동,173,61
도봉구,쌍문3동,134,38
도봉구,쌍문4동,37,17
도봉구,방학1동,414,117
도봉구,방학2동,158,53
도봉구,방학3동,63,18
도봉구,창1동,184,76
도봉구,창2동,159,57
도봉구,창3동,130,42
도봉구,창4동,140,57
도봉구,창5동,183,62
도봉구,도봉1동,299,64
도봉구,도봉2동,164,38
노원구,월계1동,285,104
노원구,월계2동,97,38
노원구,월계3동,72,59
노원구,공릉2동,301,153
노원구,하계1동,161,81
노원구,하계2동,26,13
노원구,중계본동,149,81
노원구,중계1동,95,86
노원구,중계4동,204,55
노원구,상계1동,309,108
노원구,상계2동,617,205
노원구,상계5동,258,76
노원구,상계8동,42,31
노원구,상계9동,47,27
노원구,상계10동,31,15
노원구,상계3.4동,154,47
노원구,상계6.7동,230,93
노원구,중계2.3동,143,70
노원구,공릉1동,469,154
은평구,녹번동,257,106
은평구,불광1동,370,117
은평구,갈현1동,561,150
은평구,갈현2동,127,37
은평구,구산동,116,85
은평구,대조동,413,153
은평구,응암1동,584,211
은평구,응암2동,59,20
은평구,신사1동,221,95
은평구,신사2동,28,18
은평구,증산동,145,43
은평구,수색동,91,26
은평구,진관동,305,207
은평구,불광2동,84,29
은평구,응암3동,86,24
은평구,역촌동,391,157
서대문구,천연동,157,37
서대문구,홍제1동,246,71
서대문구,홍제3동,174,38
서대문구,홍제2동,61,22
서대문구,홍은1동,188,51
서대문구,홍은2동,181,73
서대문구,남가좌1동,222,56
서대문구,남가좌2동,203,85
서대문구,북가좌1동,131,52
서대문구,북가좌2동,154,64
서대문구,충현동,371,100
서대문구,북아현동,134,63
서대문구,신촌동,1215,394
서대문구,연희동,396,182
마포구,용강동,330,76
마포구,대흥동,350,128
마포구,염리동,131,38
마포구,신수동,177,76
마포구,서교동,2502,568
마포구,합정동,535,147
마포구,망원1동,567,197
마포구,망원2동,100,28
마포구,연남동,749,246
마포구,성산1동,324,137
마포구,성산2동,124,82
마포구,상암동,667,241
마포구,도화동,459,88
마포구,서강동,502,129
마포구,공덕동,499,159
마포구,아현동,297,86
양천구,목1동,452,245
양천구,목2동,167,62
양천구,목3동,189,68
양천구,목4동,233,72
양천구,신월1동,265,49
양천구,신월2동,91,31
양천구,신월3동,97,37
양천구,신월4동,157,32
양천구,신월5동,123,44
양천구,신월6동,91,31
양천구,신월7동,137,33
양천구,신정1동,205,69
양천구,신정2동,148,62
양천구,신정3동,122,67
양천구,신정6동,41,40
양천구,신정7동,115,61
양천구,목5동,139,80
양천구,신정4동,428,135
강서구,염창동,244,102
강서구,등촌1동,279,123
강서구,등촌2동,98,48
강서구,등촌3동,304,150
강서구,화곡본동,266,75
강서구,화곡2동,90,41
강서구,화곡3동,234,72
강서구,화곡4동,247,83
강서구,화곡6동,452,82
강서구,화곡8동,199,62
강서구,가양1동,1158,337
강서구,가양2동,48,32
강서구,가양3동,39,30
강서구,발산1동,444,231
강서구,공항동,334,127
강서구,방화1동,383,158
강서구,방화2동,319,122
강서구,방화3동,82,42
강서구,화곡1동,618,152
